温度,时间,,
18,2019/3/14 18:20,定福皇庄1-1-101,客厅 东 <0.5m
18,2019/3/14 18:10,,
18.1,2019/3/14 18:00,,
18.1,2019/3/14 17:50,,
18.1,2019/3/14 17:40,,
18.1,2019/3/14 17:30,,
18.1,2019/3/14 17:20,,
18.1,2019/3/14 17:10,,
18.2,2019/3/14 17:00,,
18.2,2019/3/14 16:50,,
18.2,2019/3/14 16:40,,
18.1,2019/3/14 16:30,,
18.1,2019/3/14 16:20,,
18.2,2019/3/14 16:10,,
18.2,2019/3/14 16:00,,
18.2,2019/3/14 15:50,,
18.2,2019/3/14 15:40,,
18.2,2019/3/14 15:30,,
18.4,2019/3/14 15:20,,
18.5,2019/3/14 15:10,,
18.5,2019/3/14 15:00,,
18.4,2019/3/14 14:50,,
18.5,2019/3/14 14:40,,
18.3,2019/3/14 14:30,,
18.3,2019/3/14 14:20,,
18.3,2019/3/14 14:10,,
18.2,2019/3/14 14:00,,
18.3,2019/3/14 13:50,,
18.3,2019/3/14 13:40,,
18.2,2019/3/14 13:30,,
18.2,2019/3/14 13:20,,
18.1,2019/3/14 13:10,,
18.1,2019/3/14 13:00,,
17.9,2019/3/14 12:50,,
18,2019/3/14 12:40,,
18,2019/3/14 12:30,,
18.1,2019/3/14 12:20,,
18,2019/3/14 12:10,,
18,2019/3/14 12:00,,
18,2019/3/14 11:50,,
18,2019/3/14 11:40,,
18,2019/3/14 11:30,,
17.8,2019/3/14 11:20,,
17.7,2019/3/14 11:10,,
17.6,2019/3/14 11:00,,
17.5,2019/3/14 10:50,,
17.5,2019/3/14 10:40,,
17.3,2019/3/14 10:30,,
17.3,2019/3/14 10:20,,
17.4,2019/3/14 10:10,,
17.3,2019/3/14 10:00,,
17.3,2019/3/14 9:50,,
17.2,2019/3/14 9:40,,
17.2,2019/3/14 9:30,,
17.1,2019/3/14 9:20,,
17.1,2019/3/14 9:10,,
17.1,2019/3/14 9:00,,
17,2019/3/14 8:50,,
17,2019/3/14 8:40,,
17,2019/3/14 8:30,,
16.8,2019/3/14 8:20,,
16.8,2019/3/14 8:10,,
16.7,2019/3/14 8:00,,
16.6,2019/3/14 7:50,,
16.6,2019/3/14 7:40,,
16.5,2019/3/14 7:30,,
16.1,2019/3/14 7:20,,
15.7,2019/3/14 7:10,,
15.7,2019/3/14 7:00,,
15.7,2019/3/14 6:50,,
15.7,2019/3/14 6:40,,
15.7,2019/3/14 6:30,,
15.8,2019/3/14 6:20,,
15.8,2019/3/14 6:10,,
15.8,2019/3/14 6:00,,
